Date; Time; Temp °C
18.05.2014; 16:53:44;19.94
18.05.2014; 16:55:01;19.81
18.05.2014; 16:55:11;19.81
18.05.2014; 16:56:14;19.81
18.05.2014; 16:57:17;19.94
18.05.2014; 16:58:20;19.88
18.05.2014; 16:59:23;19.88
18.05.2014; 17:00:26;20.00
18.05.2014; 17:01:29;20.19
18.05.2014; 17:02:31;20.31
18.05.2014; 17:03:35;20.25
18.05.2014; 17:04:38;20.25
18.05.2014; 17:05:40;20.25
18.05.2014; 17:06:43;20.25
18.05.2014; 17:07:46;20.25
18.05.2014; 17:08:49;20.25
18.05.2014; 17:09:52;20.19
18.05.2014; 17:10:55;20.19
18.05.2014; 17:11:58;20.13
18.05.2014; 17:13:01;20.06
18.05.2014; 17:14:04;20.13
18.05.2014; 17:15:07;20.06
18.05.2014; 17:16:10;20.13
18.05.2014; 17:17:13;20.06
18.05.2014; 17:18:16;20.06
18.05.2014; 17:19:19;20.00
18.05.2014; 17:20:22;20.00
18.05.2014; 17:21:25;19.94
18.05.2014; 17:24:34;19.69
18.05.2014; 17:25:37;19.63
18.05.2014; 17:26:40;19.75
18.05.2014; 17:27:43;19.63
18.05.2014; 17:28:46;19.69
18.05.2014; 17:29:49;19.63
18.05.2014; 17:30:52;19.63
18.05.2014; 17:31:55;19.69
18.05.2014; 17:32:58;19.69
18.05.2014; 17:34:01;19.63
18.05.2014; 17:39:16;19.69
18.05.2014; 17:40:19;19.63
18.05.2014; 17:41:22;19.56
18.05.2014; 17:42:25;19.69
18.05.2014; 17:43:28;19.50
18.05.2014; 17:44:31;19.38
18.05.2014; 17:45:34;19.38
18.05.2014; 17:46:37;19.38
18.05.2014; 17:47:40;19.13
18.05.2014; 17:48:43;19.19
18.05.2014; 17:49:46;19.13
18.05.2014; 17:50:49;19.13
18.05.2014; 17:51:52;19.00
18.05.2014; 17:52:55;19.06
18.05.2014; 17:53:58;18.94
18.05.2014; 17:55:01;19.00
18.05.2014; 17:56:04;19.00
18.05.2014; 17:57:07;18.94
18.05.2014; 17:58:10;18.88
18.05.2014; 17:59:13;18.81
18.05.2014; 18:00:16;18.75
18.05.2014; 18:01:19;18.69
18.05.2014; 18:02:22;18.56
18.05.2014; 18:03:25;18.44
18.05.2014; 18:04:28;18.50
18.05.2014; 18:05:31;18.50
18.05.2014; 18:06:34;18.44
18.05.2014; 18:07:37;18.31
18.05.2014; 18:08:40;18.25
18.05.2014; 18:09:43;18.25
18.05.2014; 18:10:46;18.31
18.05.2014; 18:11:49;18.25
18.05.2014; 18:12:52;18.13
18.05.2014; 18:13:55;18.06
18.05.2014; 18:14:58;18.00
18.05.2014; 18:16:01;17.94
18.05.2014; 18:17:04;17.94
18.05.2014; 18:18:07;17.81
18.05.2014; 18:19:10;17.81
18.05.2014; 18:20:13;17.81
18.05.2014; 18:21:16;17.88
18.05.2014; 18:22:19;18.00
18.05.2014; 18:23:22;17.88
18.05.2014; 18:24:25;17.75
18.05.2014; 18:25:28;17.69
18.05.2014; 18:26:31;17.56
18.05.2014; 18:27:34;17.63
18.05.2014; 18:28:37;17.56
18.05.2014; 18:29:40;17.63
18.05.2014; 18:30:43;17.69
18.05.2014; 18:31:46;17.63
18.05.2014; 18:32:49;17.63
18.05.2014; 18:33:52;17.69
18.05.2014; 18:34:55;17.63
18.05.2014; 18:35:58;17.63
18.05.2014; 18:37:01;17.63
18.05.2014; 18:38:04;17.63
18.05.2014; 18:39:07;17.56
18.05.2014; 18:40:10;17.50
18.05.2014; 18:41:13;17.50
18.05.2014; 18:42:16;17.50
18.05.2014; 18:43:19;17.50
18.05.2014; 18:44:22;17.50
18.05.2014; 18:45:25;17.44
18.05.2014; 18:46:28;17.44
18.05.2014; 18:47:31;17.44
18.05.2014; 18:48:34;17.44
18.05.2014; 18:49:37;17.44
18.05.2014; 18:50:40;17.44
18.05.2014; 18:51:43;17.38
18.05.2014; 18:52:46;17.38
18.05.2014; 18:53:49;17.31
18.05.2014; 19:01:09;17.25
18.05.2014; 19:02:12;17.25
18.05.2014; 19:03:15;17.31
18.05.2014; 19:04:18;17.25
18.05.2014; 19:05:21;17.25
18.05.2014; 19:06:24;17.19
18.05.2014; 19:07:27;17.25
18.05.2014; 19:08:30;17.19
18.05.2014; 19:09:33;17.19
18.05.2014; 19:10:36;17.19
18.05.2014; 19:11:39;17.19
18.05.2014; 19:12:42;17.13
18.05.2014; 19:13:45;17.13
18.05.2014; 19:14:48;17.06
18.05.2014; 19:15:51;17.06
18.05.2014; 19:16:54;17.13
18.05.2014; 19:17:57;17.13
18.05.2014; 19:19:00;17.13
18.05.2014; 19:20:03;17.06
18.05.2014; 19:21:06;17.06
18.05.2014; 19:22:09;17.13
18.05.2014; 19:23:12;17.13
18.05.2014; 19:24:15;17.06
18.05.2014; 19:25:18;17.06
18.05.2014; 19:26:21;17.06
18.05.2014; 19:27:24;17.06
18.05.2014; 19:28:27;17.06
18.05.2014; 19:29:30;17.00
18.05.2014; 19:30:33;17.00
18.05.2014; 19:31:36;17.00
18.05.2014; 19:32:39;17.00
18.05.2014; 19:33:42;17.00
18.05.2014; 19:34:45;17.06
18.05.2014; 19:35:48;17.06
18.05.2014; 19:36:51;17.00
18.05.2014; 19:37:54;17.00
18.05.2014; 19:38:57;16.94
18.05.2014; 19:40:00;16.94
18.05.2014; 19:41:03;16.88
18.05.2014; 19:42:06;16.88
18.05.2014; 19:43:09;16.81
